[2026-06-01 19:10:07] INFO epoch 1 it 1450/1704 loss 0.0862
[2026-06-01 19:10:08] INFO epoch 1 it 1500/1704 loss 0.0862
[2026-06-01 19:10:09] INFO epoch 1 it 1550/1704 loss 0.0852
[2026-06-01 19:10:10] INFO epoch 1 it 1600/1704 loss 0.0869
[2026-06-01 19:10:11] INFO epoch 1 it 1650/1704 loss 0.0834
[2026-06-01 19:10:12] INFO epoch 1 it 1700/1704 loss 0.0856
[2026-06-01 19:10:13] INFO epoch 1 done in 80.7s lr=9.99e-05 avg_train_loss=0.0866
[2026-06-01 19:10:58] INFO epoch 1 val MAE(HU): 108.76
[2026-06-01 19:10:59] INFO new best MAE: 108.76 ¡æ saved best.pth
[2026-06-01 19:11:47] INFO epoch 2 it 50/1704 loss 0.0871
[2026-06-01 19:11:48] INFO epoch 2 it 100/1704 loss 0.0855
[2026-06-01 19:11:49] INFO epoch 2 it 150/1704 loss 0.0865
[2026-06-01 19:11:50] INFO epoch 2 it 200/1704 loss 0.0872
[2026-06-01 19:11:51] INFO epoch 2 it 250/1704 loss 0.0872
[2026-06-01 19:11:52] INFO epoch 2 it 300/1704 loss nan
[2026-06-01 19:11:53] INFO epoch 2 it 350/1704 loss nan
[2026-06-01 19:11:54] INFO epoch 2 it 400/1704 loss nan
[2026-06-01 19:11:55] INFO epoch 2 it 450/1704 loss nan
[2026-06-01 19:11:56] INFO epoch 2 it 500/1704 loss nan
[2026-06-01 19:11:56] INFO epoch 2 it 550/1704 loss nan
[2026-06-01 19:11:57] INFO epoch 2 it 600/1704 loss nan
[2026-06-01 19:11:58] INFO epoch 2 it 650/1704 loss nan
[2026-06-01 19:11:59] INFO epoch 2 it 700/1704 loss nan
[2026-06-01 19:12:00] INFO epoch 2 it 750/1704 loss nan
[2026-06-01 19:12:01] INFO epoch 2 it 800/1704 loss nan
[2026-06-01 19:12:02] INFO epoch 2 it 850/1704 loss nan
[2026-06-01 19:12:03] INFO epoch 2 it 900/1704 loss nan
[2026-06-01 19:12:03] INFO epoch 2 it 950/1704 loss nan
[2026-06-01 19:12:04] INFO epoch 2 it 1000/1704 loss nan
[2026-06-01 19:12:05] INFO epoch 2 it 1050/1704 loss nan
[2026-06-01 19:12:06] INFO epoch 2 it 1100/1704 loss nan
[2026-06-01 19:12:07] INFO epoch 2 it 1150/1704 loss nan
[2026-06-01 19:12:08] INFO epoch 2 it 1200/1704 loss nan
[2026-06-01 19:12:09] INFO epoch 2 it 1250/1704 loss nan
[2026-06-01 19:12:10] INFO epoch 2 it 1300/1704 loss nan
[2026-06-01 19:12:11] INFO epoch 2 it 1350/1704 loss nan
[2026-06-01 19:12:11] INFO epoch 2 it 1400/1704 loss nan
[2026-06-01 19:12:12] INFO epoch 2 it 1450/1704 loss nan
[2026-06-01 19:12:13] INFO epoch 2 it 1500/1704 loss nan
[2026-06-01 19:12:14] INFO epoch 2 it 1550/1704 loss nan
[2026-06-01 19:12:15] INFO epoch 2 it 1600/1704 loss nan
[2026-06-01 19:12:16] INFO epoch 2 it 1650/1704 loss nan
